iter	Logloss
0	0.5659143626
1	0.4752317349
2	0.3871806023
3	0.3283728122
4	0.2735996083
5	0.2313515928
6	0.1810246741
7	0.1611865454
8	0.1271888154
9	0.1073752359
10	0.09105460565
11	0.08015807419
12	0.07234165727
13	0.06481611051
14	0.06017006836
15	0.05528124659
16	0.05170302325
17	0.04930866186
18	0.04788857385
19	0.04446655889
20	0.04314409984
21	0.04140145015
22	0.03958921341
23	0.03853733772
24	0.0370152385
25	0.03627745413
26	0.03536289988
27	0.03461189132
28	0.03412246883
29	0.03356180007
30	0.03292985949
31	0.0325435363
32	0.03213048492
33	0.0316927939
34	0.03126454149
35	0.03082807373
36	0.03047242042
37	0.03012577054
38	0.02977838496
39	0.02956735283
40	0.02927950673
41	0.02894985816
42	0.02872741031
43	0.02842040077
44	0.02821231272
45	0.02793838919
46	0.02776089819
47	0.02753032314
48	0.02730306092
49	0.02710516992
50	0.0268575123
51	0.02662075626
52	0.02630868704
53	0.02616590728
54	0.0259696824
55	0.02583438535
56	0.02566645511
57	0.02551567158
58	0.0253449856
59	0.02519847598
60	0.02507206251
61	0.02489896143
62	0.02478045513
63	0.02464474972
64	0.02451768795
65	0.02436150283
66	0.02421388979
67	0.02411054824
68	0.02398301781
69	0.02370852085
70	0.02358804741
71	0.02337269384
72	0.02330032422
73	0.02317725475
74	0.02305884913
75	0.02297753588
76	0.02285945658
77	0.02275398766
78	0.02264519213
79	0.02253509104
80	0.02243737341
81	0.02233505223
82	0.02224814419
83	0.02216193684
84	0.02206330003
85	0.02199979074
86	0.02189704945
87	0.02181962781
88	0.02175725362
89	0.02169019514
90	0.02158811417
91	0.02151770914
92	0.0214469765
93	0.02139074843
94	0.02126373637
95	0.0211947989
96	0.02108643139
97	0.02103177528
98	0.02096031576
99	0.02090240483
100	0.02085170971
101	0.02076920934
102	0.02067313917
103	0.02061541083
104	0.02055404117
105	0.02049191154
106	0.02043967232
107	0.02039627847
108	0.02033621756
109	0.02026240874
110	0.02021156349
111	0.02015757612
112	0.02010237928
113	0.02004944627
114	0.01999245579
115	0.01994080584
116	0.0198853366
117	0.01980568512
