iter	Passed	Remaining
403	10087	14881
404	10108	14851
405	10127	14817
406	10147	14784
407	10172	14759
408	10195	14732
409	10222	14709
410	10244	14680
411	10271	14659
412	10294	14631
413	10319	14606
414	10343	14581
415	10375	14565
416	10398	14538
417	10424	14514
418	10448	14487
419	10473	14463
420	10499	14440
421	10524	14414
422	10549	14389
423	10575	14366
424	10602	14343
425	10625	14317
426	10652	14294
427	10673	14264
428	10694	14233
429	10720	14211
430	10739	14178
431	10764	14153
432	10785	14123
433	10805	14091
434	10825	14060
435	10845	14029
436	10867	14001
437	10887	13970
438	10909	13941
439	10932	13914
440	10953	13884
441	10975	13856
442	11000	13830
443	11023	13803
444	11048	13780
445	11073	13754
446	11098	13729
447	11121	13702
448	11149	13681
449	11174	13657
450	11199	13633
451	11223	13607
452	11250	13585
453	11274	13559
454	11298	13533
455	11320	13505
456	11346	13481
457	11372	13458
458	11397	13433
459	11421	13408
460	11447	13384
461	11471	13358
462	11493	13329
463	11513	13300
464	11533	13269
465	11554	13240
466	11579	13215
467	11601	13187
468	11620	13157
469	11642	13129
470	11663	13100
471	11682	13069
472	11704	13041
473	11727	13013
474	11750	12987
475	11774	12961
476	11799	12937
477	11823	12911
478	11848	12887
479	11874	12863
480	11902	12842
481	11928	12819
482	11952	12793
483	11976	12767
484	12000	12743
485	12029	12722
486	12055	12699
487	12077	12671
488	12102	12646
489	12129	12624
490	12155	12601
491	12178	12574
492	12205	12551
493	12240	12538
494	12265	12513
495	12298	12496
496	12329	12478
497	12363	12463
498	12392	12442
499	12413	12413
500	12433	12383
501	12459	12359
502	12480	12331
503	12503	12304
504	12523	12275
505	12544	12247
506	12567	12220
507	12590	12194
508	12616	12170
509	12643	12147
510	12669	12123
511	12697	12101
512	12721	12076
513	12747	12052
514	12772	12028
515	12798	12005
516	12822	11979
517	12849	11956
518	12875	11932
519	12901	11908
520	12924	11882
521	12953	11861
522	12977	11835
523	13005	11814
524	13034	11792
525	13058	11767
526	13084	11743
527	13114	11723
528	13140	11699
529	13166	11675
530	13186	11647
531	13206	11617
532	13226	11589
533	13249	11562
534	13269	11533
535	13290	11505
536	13309	11475
537	13334	11450
538	13353	11421
539	13375	11394
540	13401	11370
541	13425	11344
542	13451	11320
543	13478	11298
544	13503	11273
545	13529	11249
546	13559	11229
547	13585	11205
548	13609	11180
549	13634	11155
550	13660	11131
551	13686	11108
552	13711	11083
553	13737	11059
554	13764	11036
555	13795	11016
556	13821	10992
557	13848	10969
558	13870	10942
559	13896	10918
560	13919	10892
561	13946	10869
562	13968	10842
563	13995	10818
564	14013	10789
565	14036	10762
566	14064	10740
567	14088	10715
568	14111	10688
569	14132	10661
570	14152	10633
571	14177	10608
572	14211	10590
573	14238	10567
574	14262	10542
575	14289	10518
576	14314	10493
577	14342	10471
578	14363	10444
579	14391	10421
580	14413	10394
581	14443	10373
582	14471	10351
583	14498	10327
584	14526	10305
585	14554	10282
586	14578	10257
587	14605	10233
588	14630	10209
589	14657	10185
590	14688	10165
591	14708	10137
592	14730	10110
593	14751	10082
594	14773	10056
595	14796	10029
596	14819	10003
597	14840	9976
598	14859	9947
599	14884	9922
600	14904	9895
601	14926	9868
602	14946	9840
603	14968	9813
604	14994	9789
605	15018	9764
606	15041	9738
607	15068	9715
608	15094	9691
609	15118	9666
610	15143	9641
611	15170	9617
612	15200	9596
613	15227	9572
614	15253	9548
615	15280	9525
616	15303	9499
617	15333	9478
618	15357	9452
619	15384	9429
620	15406	9402
621	15434	9380
622	15458	9354
623	15485	9330
624	15507	9304
625	15531	9279
626	15552	9252
627	15573	9225
628	15592	9197
629	15617	9171
630	15640	9146
631	15661	9119
632	15681	9091
633	15700	9063
634	15721	9036
635	15743	9010
636	15763	8982
637	15784	8955
638	15804	8928
639	15830	8904
640	15857	8881
641	15882	8856
642	15905	8830
643	15929	8806
644	15952	8780
645	15982	8758
646	16011	8735
647	16036	8710
648	16061	8686
649	16088	8662
650	16112	8637
651	16134	8611
652	16158	8586
653	16181	8560
654	16203	8534
655	16229	8510
656	16251	8484
657	16276	8459
658	16302	8435
659	16326	8410
660	16347	8383
661	16368	8357
662	16388	8330
663	16415	8306
664	16435	8279
665	16456	8252
666	16477	8226
667	16497	8199
668	16520	8173
669	16541	8147
670	16562	8120
671	16582	8093
672	16602	8066
673	16634	8045
674	16659	8021
675	16682	7995
676	16707	7971
677	16733	7946
678	16760	7923
679	16784	7898
680	16814	7876
681	16842	7853
682	16871	7830
683	16896	7805
684	16923	7782
685	16955	7761
686	16980	7736
687	17005	7711
688	17028	7686
689	17053	7661
690	17088	7641
691	17118	7619
692	17146	7595
693	17177	7573
694	17203	7549
695	17241	7530
696	17265	7505
697	17298	7484
698	17322	7459
699	17344	7433
700	17371	7409
701	17395	7384
702	17423	7361
703	17456	7339
704	17487	7317
705	17518	7295
706	17547	7271
707	17573	7247
708	17606	7226
709	17634	7202
710	17663	7179
711	17688	7154
712	17716	7131
713	17744	7107
714	17769	7082
715	17800	7060
716	17827	7036
717	17873	7019
718	17925	7005
719	17960	6984
720	17988	6960
721	18037	6945
722	18076	6925
723	18126	6909
724	18161	6888
725	18185	6863
726	18210	6838
727	18237	6813
728	18264	6789
729	18293	6766
730	18321	6741
731	18349	6718
732	18381	6695
733	18410	6671
734	18446	6650
735	18491	6632
736	18524	6610
737	18557	6588
738	18589	6565
739	18620	6542
740	18651	6519
741	18677	6494
742	18713	6473
743	18746	6450
744	18777	6427
745	18812	6405
746	18841	6381
747	18871	6357
748	18899	6333
749	18923	6307
750	18949	6282
751	18972	6257
752	18997	6231
753	19019	6205
754	19056	6183
755	19079	6157
756	19106	6133
757	19137	6109
758	19167	6086
759	19198	6062
760	19224	6037
761	19274	6020
762	19312	5998
763	19376	5985
764	19406	5961
765	19432	5936
766	19460	5911
767	19494	5889
768	19524	5864
769	19554	5840
770	19584	5816
771	19613	5792
772	19641	5767
773	19666	5742
774	19692	5717
775	19715	5691
776	19738	5664
777	19762	5639
778	19784	5612
779	19810	5587
780	19831	5560
781	19851	5534
782	19877	5508
783	19903	5483
784	19934	5459
785	19958	5434
786	19984	5408
787	20007	5382
788	20036	5358
789	20064	5333
790	20090	5308
791	20114	5282
792	20150	5259
793	20179	5235
794	20202	5209
795	20226	5183
796	20249	5157
797	20274	5132
798	20299	5106
799	20328	5082
800	20348	5055
801	20370	5029
802	20393	5003
803	20415	4976
804	20437	4950
805	20458	4924
806	20478	4897
807	20497	4870
808	20517	4844
809	20536	4817
810	20559	4791
811	20578	4764
812	20598	4737
813	20623	4712
814	20642	4685
815	20669	4660
816	20690	4634
817	20711	4608
818	20731	4581
819	20752	4555
820	20779	4530
821	20804	4505
822	20824	4478
823	20844	4452
824	20874	4427
825	20901	4403
826	20930	4378
827	20958	4353
828	20987	4329
829	21014	4304
830	21041	4279
831	21070	4254
832	21092	4228
833	21116	4203
834	21141	4177
835	21163	4151
836	21185	4125
837	21212	4100
838	21233	4074
839	21255	4048
840	21276	4022
841	21295	3996
842	21320	3970
843	21341	3944
844	21363	3918
845	21385	3892
846	21409	3867
847	21438	3842
848	21462	3817
849	21490	3792
850	21519	3767
851	21545	3742
852	21575	3718
853	21603	3693
854	21628	3668
855	21657	3643
856	21682	3618
857	21707	3592
858	21731	3567
859	21761	3542
860	21785	3517
861	21810	3491
862	21834	3466
863	21858	3440
864	21883	3415
865	21904	3389
866	21924	3363
867	21943	3336
868	21964	3311
869	21991	3286
870	22014	3260
871	22035	3234
872	22058	3208
873	22090	3184
874	22113	3159
875	22133	3133
876	22156	3107
